epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6385,1.88228,2.36374,1.90473,0.40334,0.27846,0.26622,0.08145,2.26055,2.62396,2.24932,0.00065812,0.00065812,0.00065812
2,191.419,1.80738,2.03578,1.82206,0.40659,0.3969,0.35949,0.12491,2.22604,2.65941,2.34461,0.00127232,0.00127232,0.00127232
3,285.428,1.84409,1.98173,1.88716,0.28132,0.25,0.18197,0.05071,2.66372,2.75461,2.69828,0.00183373,0.00183373,0.00183373
4,380.5,1.81515,1.88102,1.85309,0.43907,0.38415,0.33755,0.11441,2.30095,2.83271,2.26214,0.0017624,0.0017624,0.0017624
5,474.685,1.79351,1.86382,1.83652,0.46837,0.47154,0.41667,0.14871,2.22228,2.10251,2.18563,0.0016832,0.0016832,0.0016832
6,568.342,1.77401,1.78188,1.80829,0.45589,0.45325,0.39394,0.13974,2.24492,2.27549,2.21126,0.001604,0.001604,0.001604
7,662.712,1.75867,1.70618,1.78305,0.54738,0.45528,0.45142,0.16677,2.19209,2.08174,2.13906,0.0015248,0.0015248,0.0015248
8,756.556,1.73354,1.6834,1.7737,0.6188,0.42886,0.48008,0.17694,2.287,1.87006,2.20592,0.0014456,0.0014456,0.0014456
9,850.553,1.6911,1.63745,1.74277,0.53363,0.45583,0.47355,0.16539,2.21776,1.92682,2.17963,0.0013664,0.0013664,0.0013664
10,944.154,1.68699,1.61511,1.74598,0.53195,0.46951,0.46605,0.16796,2.18356,1.92087,2.15145,0.0012872,0.0012872,0.0012872
11,1037.89,1.66704,1.59161,1.73399,0.57541,0.45935,0.48672,0.1853,2.24155,1.82978,2.21156,0.001208,0.001208,0.001208
12,1132.05,1.65365,1.52881,1.70498,0.56008,0.47967,0.49369,0.17259,2.25455,1.79035,2.249,0.0011288,0.0011288,0.0011288
13,1225.58,1.63265,1.52015,1.7117,0.54494,0.48171,0.4932,0.18884,2.19832,1.8127,2.16565,0.0010496,0.0010496,0.0010496
14,1319.44,1.61506,1.5007,1.69887,0.55323,0.43496,0.4279,0.14623,2.29952,1.91808,2.2867,0.0009704,0.0009704,0.0009704
15,1413.07,1.59556,1.46136,1.6738,0.55545,0.50407,0.51808,0.18569,2.18433,1.75041,2.13826,0.0008912,0.0008912,0.0008912
16,1505.73,1.63382,1.40966,1.75209,0.52709,0.48253,0.45813,0.15819,2.24139,1.88017,2.23578,0.000812,0.000812,0.000812
17,1598.37,1.59588,1.36996,1.74024,0.5968,0.48436,0.52455,0.1966,2.23429,1.68221,2.22873,0.0007328,0.0007328,0.0007328
18,1690.9,1.56777,1.27715,1.72242,0.57224,0.50301,0.51118,0.18474,2.21987,1.71573,2.19012,0.0006536,0.0006536,0.0006536
19,1783.31,1.54765,1.22085,1.70274,0.6264,0.50203,0.54425,0.21555,2.16834,1.6025,2.15246,0.0005744,0.0005744,0.0005744
20,1876.04,1.50231,1.16857,1.65847,0.62211,0.55081,0.56063,0.22026,2.1641,1.59312,2.15573,0.0004952,0.0004952,0.0004952
21,1968.76,1.50243,1.15251,1.66365,0.6421,0.52145,0.56996,0.22185,2.16641,1.59825,2.15625,0.000416,0.000416,0.000416
22,2061.05,1.47791,1.11834,1.64873,0.59766,0.51829,0.52615,0.19995,2.22931,1.63828,2.22004,0.0003368,0.0003368,0.0003368
23,2153.5,1.4388,1.07559,1.62375,0.6314,0.53659,0.56155,0.21999,2.17321,1.58524,2.17379,0.0002576,0.0002576,0.0002576
24,2246.27,1.43241,1.05018,1.61317,0.61073,0.53572,0.5521,0.20867,2.21198,1.59628,2.20983,0.0001784,0.0001784,0.0001784
25,2338.84,1.39618,1.00934,1.5891,0.64706,0.54031,0.57488,0.22215,2.17974,1.55922,2.19453,9.92e-05,9.92e-05,9.92e-05
